Transkribus-ID;AkteNummer;Akte_Scan;Finder-Tags;Datum;Tags;Dokumententyp;Titel;Nr. Of Pages;Transkibus-Transkription-Status
6478650;1;Akte_001.1_S001.jpg;Maschinell, Handschrift;1925 - 1943;Vollständig;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S002.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S003.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S004.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S005.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S006.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S007.jpg;Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S008.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S009.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S010.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S011.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S012.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S013.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S014.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S015.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S016.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S017.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S018.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S019.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S020.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S021.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S022.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S023.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S024.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S001.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S002.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S003.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S004.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S005.jpg;;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S006.jpg;Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S007.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S008.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S009.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S010.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S011.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S012.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S013.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S014.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S016.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S017.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S018.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S019.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S020.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S021.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S022.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S023.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S024.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S001.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S002.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S003.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S004.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S005.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S006.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S007.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S008.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S009.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S010.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S011.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S012.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S013.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S014.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S015.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S016.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S017.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S018.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S019.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S020.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S021.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S022.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S023.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.3_S024.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S001.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S002.jpg;Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S003.jpg;Handschrift, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S004.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S005.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S006.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S007.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S008.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S009.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S010.jpg;Maschinell, Handschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S011.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S012.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S013.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S014.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S015.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S016.jpg;Maschinell, mitUnterschrift;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S017.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.4_S018.jpg;Maschinell;1925 - 1943;Ja;Brief;"Erbe ""Walter""";118;Teilweise GT
